Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
home,51,50,48,55,58,67,46,117,0.000%,17.93249,681.08,175.19
randomPageParseRandom,4,48,48,50,50,50,47,50,0.000%,10.47120,341.22,102.67
openPost,9,1,1,2,8,8,1,8,0.000%,21.89781,240.62,10.27
randomPageParseFirst,1,48,48,48,48,48,48,48,0.000%,20.83333,601.89,204.28
Anonymous Script,1,317,317,317,317,317,317,317,0.000%,2.07469,603.14,130.79
Debug Sampler,1,0,0,0,0,0,0,0,0.000%,∞,0.00,0.00
Main Script,1,2814,2814,2814,2814,2814,2814,2814,0.000%,.33311,732.25,183.70
TOTAL,68,87,47,55,67,317,0,2814,0.000%,22.65157,1561.35,388.40
